name;permission;authority_name
ADMIN_RESOURCE;4;ROLE_ADMIN
NOTIFICATION_TEMPLATE;4;ROLE_ADMIN
NOTIFICATION_TEMPLATE;4;ROLE_PM
BUSSINESS_LINE;4;ROLE_ADMIN
BUSINESS_UNIT;4;ROLE_ADMIN
BUSINESS_UNIT_MANAGER;4;ROLE_ADMIN
PROJECT_TEMPLATES;4;ROLE_ADMIN
CUSTOMER;4;ROLE_ADMIN
BUG_LIST_DEFAULT;4;ROLE_ADMIN
BUGS;4;ROLE_ADMIN
PROJECT;4;ROLE_ADMIN
PURCHASE_ORDERS;4;ROLE_ADMIN
TMS_CUSTOMER_FIELD;4;ROLE_ADMIN
ISSUE;4;ROLE_ADMIN
VIEW_FEED_BACK;4;ROLE_ADMIN
FEED_BACK;0;ROLE_PM
FEED_BACK;4;ROLE_PM
MAIL;0;ROLE_PM
MAIL;4;ROLE_PM
MEMBERS_MANAGEMENT;4;ROLE_ADMIN
ALLOCATION;4;ROLE_ADMIN
EFFORT;4;ROLE_ADMIN
TRACKING_MANAGEMENT;4;ROLE_ADMIN
TMS_LOG_HISTORY;4;ROLE_ADMIN
NOTES;4;ROLE_ADMIN
PACKAGE;4;ROLE_ADMIN
PROJECT_USERS;4;ROLE_ADMIN
PROJECT_WORK_FLOW;4;ROLE_ADMIN
TASK;4;ROLE_ADMIN
ADMIN_RESOURCE;0;ROLE_PM
BUSSINESS_LINE;0;ROLE_PM
PROJECT_TEMPLATES;1;ROLE_PM
CUSTOMER;1;ROLE_PM
BUG_LIST_DEFAULT;0;ROLE_PM
BUGS;4;ROLE_PM
PROJECT;4;ROLE_PM
PURCHASE_ORDERS;4;ROLE_PM
TMS_CUSTOMER_FIELD;0;ROLE_PM
ISSUE;4;ROLE_PM
MEMBERS_MANAGEMENT;4;ROLE_PM
ALLOCATION;4;ROLE_PM
EFFORT;4;ROLE_PM
TRACKING_MANAGEMENT;4;ROLE_PM
TMS_LOG_HISTORY;4;ROLE_PM
NOTES;4;ROLE_PM
PACKAGE;4;ROLE_PM
PROJECT_USERS;4;ROLE_PM
PROJECT_WORK_FLOW;4;ROLE_PM
TASK;4;ROLE_PM
ADMIN_RESOURCE;0;ROLE_USER
BUSSINESS_LINE;0;ROLE_USER
BUSINESS_UNIT;0;ROLE_USER
BUSINESS_UNIT_MANAGER;0;ROLE_USER
PROJECT_TEMPLATES;0;ROLE_USER
CUSTOMER;0;ROLE_USER
BUG_LIST_DEFAULT;0;ROLE_USER
PROJECT;0;ROLE_USER
PURCHASE_ORDERS;0;ROLE_USER
TMS_CUSTOMER_FIELD;0;ROLE_USER
ISSUE;0;ROLE_USER
TMS_LOG_HISTORY;0;ROLE_USER
NOTES;0;ROLE_USER
PACKAGE;0;ROLE_USER
PROJECT_USERS;0;ROLE_USER
PROJECT_WORK_FLOW;0;ROLE_USER
TASK;0;ROLE_USER
BUSINESS_UNIT;1;ROLE_PM
